taxon,common_name,lifeform,status,family,start_bloom,end_bloom,month
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Jun
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Jul
Quercus agrifolia,Coast live oak,tree,native,Fagaceae,Feb,Apr,Feb
Quercus agrifolia,Coast live oak,tree,native,Fagaceae,Feb,Apr,Mar
Quercus agrifolia,Coast live oak,tree,native,Fagaceae,Feb,Apr,Apr
Quercus berberidifolia,Inland scrub oak,tree,native,Fagaceae,Feb,Mar,Feb
Quercus berberidifolia,Inland scrub oak,tree,native,Fagaceae,Feb,Mar,Mar
Quercus lobata,Valley oak,tree,native,Fagaceae,Feb,Mar,Feb
Quercus lobata,Valley oak,tree,native,Fagaceae,Feb,Mar,Mar
Ribes aureum,Golden currant,shrub,native,Grossulariaceae,Jan,Mar,Jan
Ribes aureum,Golden currant,shrub,native,Grossulariaceae,Jan,Mar,Feb
Ribes aureum,Golden currant,shrub,native,Grossulariaceae,Jan,Mar,Mar
Ribes speciosum,Fuchsia flowered gooseberry,shrub,native,Grossulariaceae,Jan,Feb,Jan
Ribes speciosum,Fuchsia flowered gooseberry,shrub,native,Grossulariaceae,Jan,Feb,Feb
Rosa californica,California wild rose,shrub,native,Rosaceae,May,Aug,May
Rosa californica,California wild rose,shrub,native,Rosaceae,May,Aug,Jun
Rosa californica,California wild rose,shrub,native,Rosaceae,May,Aug,Jul
Rosa californica,California wild rose,shrub,native,Rosaceae,May,Aug,Aug
Rubus ursinus,California blackberry,"vine, shrub",native,Rosaceae,Feb,May,Feb
Rubus ursinus,California blackberry,"vine, shrub",native,Rosaceae,Feb,May,Mar
Rubus ursinus,California blackberry,"vine, shrub",native,Rosaceae,Feb,May,Apr
Rubus ursinus,California blackberry,"vine, shrub",native,Rosaceae,Feb,May,May
Salix lasiolepis,Arroyo willow,"tree, shrub",native,Salicaceae,Feb,Mar,Feb
Salix lasiolepis,Arroyo willow,"tree, shrub",native,Salicaceae,Feb,Mar,Mar
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,Feb
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,Mar
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,Apr
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,May
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,Jun
Salvia leucophylla,Purple sage,shrub,native,Lamiaceae,Feb,Jul,Jul
Salvia mellifera,Black sage,shrub,native,Lamiaceae,Apr,Jul,Apr
Salvia mellifera,Black sage,shrub,native,Lamiaceae,Apr,Jul,May
Salvia mellifera,Black sage,shrub,native,Lamiaceae,Apr,Jul,Jun
Salvia mellifera,Black sage,shrub,native,Lamiaceae,Apr,Jul,Jul
Salvia spathacea,Hummingbird sage,perennial herb,native,Lamiaceae,Apr,Jul,Apr
Salvia spathacea,Hummingbird sage,perennial herb,native,Lamiaceae,Apr,Jul,May
Salvia spathacea,Hummingbird sage,perennial herb,native,Lamiaceae,Apr,Jul,Jun
Salvia spathacea,Hummingbird sage,perennial herb,native,Lamiaceae,Apr,Jul,Jul
Sambucus nigra,Black elderberry,shrub,native,Adoxaceae,Mar,May,Mar
Sambucus nigra,Black elderberry,shrub,native,Adoxaceae,Mar,May,Apr
Sambucus nigra,Black elderberry,shrub,native,Adoxaceae,Mar,May,May
Solanum douglasii,Douglas' nightshade,perennial herb,native,Solanaceae,Mar,Jul,Mar
Solanum douglasii,Douglas' nightshade,perennial herb,native,Solanaceae,Mar,Jul,Apr
Solanum douglasii,Douglas' nightshade,perennial herb,native,Solanaceae,Mar,Jul,May
Solanum douglasii,Douglas' nightshade,perennial herb,native,Solanaceae,Mar,Jul,Jun
