Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Antirrhinum nuttallianum ssp. subsessile,,,10 records,Nuttall's snapdragon,,"Annual, Perennial herb",native,PLANTAGINACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Aphanes occidentalis,,,8 records,Ladie's mantle,,"Annual, Perennial herb",native,ROSACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Aphyllon fasciculatum,,,6 records,Clustered broomrape,,Perennial herb (parasitic),native,OROBANCHACEAE,,,,,,,,,,,,,,,,,,,,,,
Aphyllon tuberosum,,,4 records,Chaparral broomrape,,Perennial herb (parasitic),native,OROBANCHACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Aphyllon vallicolum,,,2 records,Valley broom rape,,Annual herb,native,OROBANCHACEAE,,,,,,,,,,,,,,,,,,,,,,
Apiastrum angustifolium,,,60 records,Wild celery,,Annual herb,native,APIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Apocynum cannabinum,,,1 record,Indian hemp,,Perennial herb,native,APOCYNACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Arctostaphylos canescens,,,1 record,Hoary manzanita,,Shrub,native,ERICACEAE,Jan,Feb,X,X,,,,,,,,,,,,,,,,,,
Arctostaphylos canescens ssp. canescens,,,1 record,Hoary manzanita,,Shrub,native,ERICACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Arctostaphylos crustacea,,,1 record,Brittle leaf manzanita,,Shrub,native,ERICACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Arctostaphylos glandulosa,,,24 records,Eastwood manzanita,,Shrub,native,ERICACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Arctostaphylos glandulosa ssp. glandulosa,,,22 records,Eastwood manzanita,,Shrub,native,ERICACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
Arctostaphylos glandulosa ssp. mollis,,,16 records,Transverse range manzanita,,Shrub,native,ERICACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Arctostaphylos glauca,,,70 records,Big berry manzanita,,"Tree, Shrub",native,ERICACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
